Index,Before,After,Bit,Diff
396745,23,22,0,-1
279596,137,136,0,-1
506656,99,98,0,-1
460014,83,82,0,-1
763905,101,100,0,-1
486226,169,168,0,-1
555197,217,216,0,-1
598199,213,212,0,-1
303988,185,184,0,-1
353744,129,128,0,-1
178924,93,92,0,-1
610730,229,228,0,-1
754763,209,208,0,-1
107396,171,170,0,-1
496164,73,72,0,-1
781721,199,198,0,-1
727016,209,208,0,-1
710767,123,122,0,-1
542069,211,210,0,-1
319484,233,232,0,-1
115181,149,148,0,-1
78862,71,70,0,-1
344140,25,24,0,-1
591606,77,76,0,-1
289282,19,18,0,-1
169971,133,132,0,-1
206679,135,134,0,-1
148470,175,174,0,-1
62254,107,106,0,-1
712108,89,88,0,-1
718563,101,100,0,-1
281680,9,8,0,-1
712315,129,128,0,-1
492974,207,206,0,-1
691636,89,88,0,-1
1970,87,86,0,-1
443840,209,208,0,-1
25902,75,74,0,-1
142113,109,108,0,-1
63119,235,234,0,-1
745673,201,200,0,-1
100145,91,90,0,-1
621001,75,74,0,-1
526977,111,110,0,-1
501476,125,124,0,-1
561976,21,20,0,-1
569995,151,150,0,-1
165859,57,56,0,-1
210260,241,240,0,-1
329094,85,84,0,-1
173753,225,224,0,-1
626674,147,146,0,-1
260919,111,110,0,-1
94562,219,218,0,-1
633424,123,122,0,-1
64571,195,194,0,-1
387129,83,82,0,-1
694906,115,114,0,-1
269342,155,154,0,-1
701477,217,216,0,-1
662322,79,78,0,-1
322227,119,118,0,-1
132533,141,140,0,-1
179618,233,232,0,-1
410775,119,118,0,-1
271064,223,222,0,-1
70232,207,206,0,-1
347281,167,166,0,-1
607634,227,226,0,-1
363489,157,156,0,-1
274975,47,46,0,-1
12004,83,82,0,-1
95705,129,128,0,-1
584033,191,190,0,-1
523453,215,214,0,-1
560358,67,66,0,-1
604306,173,172,0,-1
326647,91,90,0,-1
554340,121,120,0,-1
657046,113,112,0,-1
349211,87,86,0,-1
478450,89,88,0,-1
100688,217,216,0,-1
673472,207,206,0,-1
553844,219,218,0,-1
449402,203,202,0,-1
116183,231,230,0,-1
780160,97,96,0,-1
658446,109,108,0,-1
214934,241,240,0,-1
33021,87,86,0,-1
64260,117,116,0,-1
115427,111,110,0,-1
360366,183,182,0,-1
271365,65,64,0,-1
373466,157,156,0,-1
181282,23,22,0,-1
226875,59,58,0,-1
174363,113,112,0,-1
319605,123,122,0,-1
539851,151,150,0,-1
583578,125,124,0,-1
724247,201,200,0,-1
296255,193,192,0,-1
